"snapshot_id","schema_id","commit_user","commit_identifier","commit_kind","commit_time","base_manifest_list","delta_manifest_list","changelog_manifest_list","total_record_count","delta_record_count","changelog_record_count","watermark"
"8458","1","admin","6815","APPEND","2024-11-04 13:11:20.415","manifest-list-0b0b734f-00e3-4bac-aa33-0e14d621b351-10806","manifest-list-0b0b734f-00e3-4bac-aa33-0e14d621b351-10807","NULL","222337699","14997","0","6815"
"8459","1","admin","6816","APPEND","2024-11-04 13:12:21.62","manifest-list-0b0b734f-00e3-4bac-aa33-0e14d621b351-10808","manifest-list-0b0b734f-00e3-4bac-aa33-0e14d621b351-10809","NULL","222363013","25314","0","6816"
"8460","1","admin","6817","APPEND","2024-11-04 13:13:22.16","manifest-list-0b0b734f-00e3-4bac-aa33-0e14d621b351-10810","manifest-list-0b0b734f-00e3-4bac-aa33-0e14d621b351-10811","NULL","222381936","18923","0","6817"
"8461","1","admin","6817","COMPACT","2024-11-04 13:13:24.266","manifest-list-0b0b734f-00e3-4bac-aa33-0e14d621b351-10812","manifest-list-0b0b734f-00e3-4bac-aa33-0e14d621b351-10813","NULL","222381936","0","0","6817"
"8462","1","admin","6818","APPEND","2024-11-04 13:14:22.818","manifest-list-0b0b734f-00e3-4bac-aa33-0e14d621b351-10814","manifest-list-0b0b734f-00e3-4bac-aa33-0e14d621b351-10815","NULL","222397287","15351","0","6818"
"8463","1","admin","6819","APPEND","2024-11-04 13:15:23.451","manifest-list-0b0b734f-00e3-4bac-aa33-0e14d621b351-10816","manifest-list-0b0b734f-00e3-4bac-aa33-0e14d621b351-10817","NULL","222421415","24128","0","6819"
"8464","1","admin","6820","APPEND","2024-11-04 13:16:24.846","manifest-list-0b0b734f-00e3-4bac-aa33-0e14d621b351-10818","manifest-list-0b0b734f-00e3-4bac-aa33-0e14d621b351-10819","NULL","222440888","19473","0","6820"
"8465","1","admin","6821","APPEND","2024-11-04 13:17:25.8","manifest-list-0b0b734f-00e3-4bac-aa33-0e14d621b351-10820","manifest-list-0b0b734f-00e3-4bac-aa33-0e14d621b351-10821","NULL","222456454","15566","0","6821"
"8466","1","admin","6821","COMPACT","2024-11-04 13:17:28.87","manifest-list-0b0b734f-00e3-4bac-aa33-0e14d621b351-10822","manifest-list-0b0b734f-00e3-4bac-aa33-0e14d621b351-10823","NULL","222456454","0","0","6821"
"8467","1","admin","6822","APPEND","2024-11-04 13:18:26.521","manifest-list-0b0b734f-00e3-4bac-aa33-0e14d621b351-10824","manifest-list-0b0b734f-00e3-4bac-aa33-0e14d621b351-10825","NULL","222479826","23372","0","6822"
"8468","1","admin","6823","APPEND","2024-11-04 13:19:27.342","manifest-list-0b0b734f-00e3-4bac-aa33-0e14d621b351-10826","manifest-list-0b0b734f-00e3-4bac-aa33-0e14d621b351-10827","NULL","222499008","19182","0","6823"
"8469","1","admin","6824","APPEND","2024-11-04 13:20:29.04","manifest-list-0b0b734f-00e3-4bac-aa33-0e14d621b351-10828","manifest-list-0b0b734f-00e3-4bac-aa33-0e14d621b351-10829","NULL","222513914","14906","0","6824"
"8470","1","admin","6825","APPEND","2024-11-04 13:21:32.219","manifest-list-0b0b734f-00e3-4bac-aa33-0e14d621b351-10830","manifest-list-0b0b734f-00e3-4bac-aa33-0e14d621b351-10831","NULL","222537760","23846","0","6825"
"8471","1","admin","6825","COMPACT","2024-11-04 13:21:33.33","manifest-list-0b0b734f-00e3-4bac-aa33-0e14d621b351-10832","manifest-list-0b0b734f-00e3-4bac-aa33-0e14d621b351-10833","NULL","222537760","0","0","6825"
"8472","1","admin","6826","APPEND","2024-11-04 13:22:30.286","manifest-list-0b0b734f-00e3-4bac-aa33-0e14d621b351-10834","manifest-list-0b0b734f-00e3-4bac-aa33-0e14d621b351-10835","NULL","222556157","18397","0","6826"
"8473","1","admin","6827","APPEND","2024-11-04 13:23:30.865","manifest-list-0b0b734f-00e3-4bac-aa33-0e14d621b351-10836","manifest-list-0b0b734f-00e3-4bac-aa33-0e14d621b351-10837","NULL","222571839","15682","0","6827"
"8474","1","admin","6828","APPEND","2024-11-04 13:24:32.516","manifest-list-0b0b734f-00e3-4bac-aa33-0e14d621b351-10838","manifest-list-0b0b734f-00e3-4bac-aa33-0e14d621b351-10839","NULL","222594800","22961","0","6828"
